Time(day),a(km),e,i(deg),n(deg),w(deg),f(deg),hp(km)
1747.08423439,nan,nan,     nan,     nan,     nan,     nan,nan
1755.08792792,nan,nan,     nan,     nan,     nan,     nan,nan
1761.09111893,nan,nan,     nan,     nan,     nan,     nan,nan
1765.09328180,nan,nan,     nan,     nan,     nan,     nan,nan
1790.60753134,nan,nan,     nan,     nan,     nan,     nan,nan
1793.60887454,nan,nan,     nan,     nan,     nan,     nan,nan
1810.61512544,nan,nan,     nan,     nan,     nan,     nan,nan
1817.11676753,nan,nan,     nan,     nan,     nan,     nan,nan
1819.61710204,nan,nan,     nan,     nan,     nan,     nan,nan
1821.61744209,nan,nan,     nan,     nan,     nan,     nan,nan
1826.61806766,nan,nan,     nan,     nan,     nan,     nan,nan
1832.11853102,nan,nan,     nan,     nan,     nan,     nan,nan
1835.61879733,nan,nan,     nan,     nan,     nan,     nan,nan
1838.61891416,nan,nan,     nan,     nan,     nan,     nan,nan
1845.61909037,nan,nan,     nan,     nan,     nan,     nan,nan
1852.61932127,nan,nan,     nan,     nan,     nan,     nan,nan
1859.61959012,nan,nan,     nan,     nan,     nan,     nan,nan
1861.61969328,nan,nan,     nan,     nan,     nan,     nan,nan
1868.62041869,nan,nan,     nan,     nan,     nan,     nan,nan
1876.62138115,nan,nan,     nan,     nan,     nan,     nan,nan
1882.62265246,nan,nan,     nan,     nan,     nan,     nan,nan
1887.62406470,nan,nan,     nan,     nan,     nan,     nan,nan
1889.62483214,nan,nan,     nan,     nan,     nan,     nan,nan
1890.62508770,nan,nan,     nan,     nan,     nan,     nan,nan
1893.62611651,nan,nan,     nan,     nan,     nan,     nan,nan
1900.62907020,nan,nan,     nan,     nan,     nan,     nan,nan
1912.13501525,nan,nan,     nan,     nan,     nan,     nan,nan
1916.13731642,nan,nan,     nan,     nan,     nan,     nan,nan
1917.63822012,nan,nan,     nan,     nan,     nan,     nan,nan
1923.64176461,nan,nan,     nan,     nan,     nan,     nan,nan
1928.64473186,nan,nan,     nan,     nan,     nan,     nan,nan
1938.15011127,nan,nan,     nan,     nan,     nan,     nan,nan
1944.15321415,nan,nan,     nan,     nan,     nan,     nan,nan
1948.15504623,nan,nan,     nan,     nan,     nan,     nan,nan
1952.65686849,nan,nan,     nan,     nan,     nan,     nan,nan
1960.65958902,nan,nan,     nan,     nan,     nan,     nan,nan
1963.66039347,nan,nan,     nan,     nan,     nan,     nan,nan
1965.66087248,nan,nan,     nan,     nan,     nan,     nan,nan
1971.66207557,nan,nan,     nan,     nan,     nan,     nan,nan
1992.66396056,nan,nan,     nan,     nan,     nan,     nan,nan
1994.66401356,nan,nan,     nan,     nan,     nan,     nan,nan
1999.66420099,nan,nan,     nan,     nan,     nan,     nan,nan
2016.66517533,nan,nan,     nan,     nan,     nan,     nan,nan
2022.16572218,nan,nan,     nan,     nan,     nan,     nan,nan
2026.16642340,nan,nan,     nan,     nan,     nan,     nan,nan
2027.66669852,nan,nan,     nan,     nan,     nan,     nan,nan
2030.16725602,nan,nan,     nan,     nan,     nan,     nan,nan
2034.16807963,nan,nan,     nan,     nan,     nan,     nan,nan
2037.16891727,nan,nan,     nan,     nan,     nan,     nan,nan
2042.17059099,nan,nan,     nan,     nan,     nan,     nan,nan
2045.17172965,nan,nan,     nan,     nan,     nan,     nan,nan
2051.67450973,nan,nan,     nan,     nan,     nan,     nan,nan
2057.67753537,nan,nan,     nan,     nan,     nan,     nan,nan
2059.67858560,nan,nan,     nan,     nan,     nan,     nan,nan
2069.68437124,nan,nan,     nan,     nan,     nan,     nan,nan
2076.18822102,nan,nan,     nan,     nan,     nan,     nan,nan
2079.69032997,nan,nan,     nan,     nan,     nan,     nan,nan
2081.19118238,nan,nan,     nan,     nan,     nan,     nan,nan
2082.69208501,nan,nan,     nan,     nan,     nan,     nan,nan
2084.19295756,nan,nan,     nan,     nan,     nan,     nan,nan
2087.19463313,nan,nan,     nan,     nan,     nan,     nan,nan
2088.69550340,nan,nan,     nan,     nan,     nan,     nan,nan
2090.69648557,nan,nan,     nan,     nan,     nan,     nan,nan
2092.19720238,nan,nan,     nan,     nan,     nan,     nan,nan
2093.19772419,nan,nan,     nan,     nan,     nan,     nan,nan
2094.69849626,nan,nan,     nan,     nan,     nan,     nan,nan
2096.19920797,nan,nan,     nan,     nan,     nan,     nan,nan
2098.70036265,nan,nan,     nan,     nan,     nan,     nan,nan
2100.70120641,nan,nan,     nan,     nan,     nan,     nan,nan
2102.20179149,nan,nan,     nan,     nan,     nan,     nan,nan
2103.70237509,nan,nan,     nan,     nan,     nan,     nan,nan
2105.20291810,nan,nan,     nan,     nan,     nan,     nan,nan
2109.20427954,nan,nan,     nan,     nan,     nan,     nan,nan
2110.70472602,nan,nan,     nan,     nan,     nan,     nan,nan
2111.20487110,nan,nan,     nan,     nan,     nan,     nan,nan
2113.70554178,nan,nan,     nan,     nan,     nan,     nan,nan
2116.70624399,nan,nan,     nan,     nan,     nan,     nan,nan
2119.20675027,nan,nan,     nan,     nan,     nan,     nan,nan
2126.20788884,nan,nan,     nan,     nan,     nan,     nan,nan
2128.20807874,nan,nan,     nan,     nan,     nan,     nan,nan
2132.70851922,nan,nan,     nan,     nan,     nan,     nan,nan
2136.70877626,nan,nan,     nan,     nan,     nan,     nan,nan
2139.70887634,nan,nan,     nan,     nan,     nan,     nan,nan
2141.70894891,nan,nan,     nan,     nan,     nan,     nan,nan
2143.70898915,nan,nan,     nan,     nan,     nan,     nan,nan
2145.70906619,nan,nan,     nan,     nan,     nan,     nan,nan
2147.70914749,nan,nan,     nan,     nan,     nan,     nan,nan
2151.20934235,nan,nan,     nan,     nan,     nan,     nan,nan
2152.70929194,nan,nan,     nan,     nan,     nan,     nan,nan
2154.70929165,nan,nan,     nan,     nan,     nan,     nan,nan
2156.70937820,nan,nan,     nan,     nan,     nan,     nan,nan
2158.70947178,nan,nan,     nan,     nan,     nan,     nan,nan
2161.70961573,nan,nan,     nan,     nan,     nan,     nan,nan
2163.70974673,nan,nan,     nan,     nan,     nan,     nan,nan
2166.70998436,nan,nan,     nan,     nan,     nan,     nan,nan
2173.71083191,nan,nan,     nan,     nan,     nan,     nan,nan
2176.71131815,nan,nan,     nan,     nan,     nan,     nan,nan
2179.71189578,nan,nan,     nan,     nan,     nan,     nan,nan
2184.71305144,nan,nan,     nan,     nan,     nan,     nan,nan
2186.71362937,nan,nan,     nan,     nan,     nan,     nan,nan
2188.71427283,nan,nan,     nan,     nan,     nan,     nan,nan
2191.71530474,nan,nan,     nan,     nan,     nan,     nan,nan
2194.71640628,nan,nan,     nan,     nan,     nan,     nan,nan
2195.71680158,nan,nan,     nan,     nan,     nan,     nan,nan
2198.71806654,nan,nan,     nan,     nan,     nan,     nan,nan
2201.21926319,nan,nan,     nan,     nan,     nan,     nan,nan
2203.22025354,nan,nan,     nan,     nan,     nan,     nan,nan
2204.72100975,nan,nan,     nan,     nan,     nan,     nan,nan
2205.72152550,nan,nan,     nan,     nan,     nan,     nan,nan
2206.72205065,nan,nan,     nan,     nan,     nan,     nan,nan
2209.22336066,nan,nan,     nan,     nan,     nan,     nan,nan
2211.72475176,nan,nan,     nan,     nan,     nan,     nan,nan
2213.22561365,nan,nan,     nan,     nan,     nan,     nan,nan
2214.72650498,nan,nan,     nan,     nan,     nan,     nan,nan
2216.22742043,nan,nan,     nan,     nan,     nan,     nan,nan
2217.72833145,nan,nan,     nan,     nan,     nan,     nan,nan
2218.72893287,nan,nan,     nan,     nan,     nan,     nan,nan
2220.22986716,nan,nan,     nan,     nan,     nan,     nan,nan
2224.23230005,nan,nan,     nan,     nan,     nan,     nan,nan
2226.23350450,nan,nan,     nan,     nan,     nan,     nan,nan
2228.23480444,nan,nan,     nan,     nan,     nan,     nan,nan
2230.23602190,nan,nan,     nan,     nan,     nan,     nan,nan
2232.73753450,nan,nan,     nan,     nan,     nan,     nan,nan
2234.73868636,nan,nan,     nan,     nan,     nan,     nan,nan
2236.73981645,nan,nan,     nan,     nan,     nan,     nan,nan
2239.74151178,nan,nan,     nan,     nan,     nan,     nan,nan
2243.74371377,nan,nan,     nan,     nan,     nan,     nan,nan
2246.74509553,nan,nan,     nan,     nan,     nan,     nan,nan
2256.24918701,nan,nan,     nan,     nan,     nan,     nan,nan
2275.25373122,nan,nan,     nan,     nan,     nan,     nan,nan
2303.75571699,nan,nan,     nan,     nan,     nan,     nan,nan
2309.25590824,nan,nan,     nan,     nan,     nan,     nan,nan
2309.25590983,nan,nan,     nan,     nan,     nan,     nan,nan
2321.25707691,nan,nan,     nan,     nan,     nan,     nan,nan
2321.25710643,nan,nan,     nan,     nan,     nan,     nan,nan
2331.25908828,nan,nan,     nan,     nan,     nan,     nan,nan
2332.25929521,nan,nan,     nan,     nan,     nan,     nan,nan
2335.26010441,nan,nan,     nan,     nan,     nan,     nan,nan
2339.26141874,nan,nan,     nan,     nan,     nan,     nan,nan
2343.26291885,nan,nan,     nan,     nan,     nan,     nan,nan
2347.26451894,nan,nan,     nan,     nan,     nan,     nan,nan
2351.26640129,nan,nan,     nan,     nan,     nan,     nan,nan
2352.26689573,nan,nan,     nan,     nan,     nan,     nan,nan
2353.26740873,nan,nan,     nan,     nan,     nan,     nan,nan
2357.26950801,nan,nan,     nan,     nan,     nan,     nan,nan
2359.77089484,nan,nan,     nan,     nan,     nan,     nan,nan
2364.77379464,nan,nan,     nan,     nan,     nan,     nan,nan
2365.77440633,nan,nan,     nan,     nan,     nan,     nan,nan
2367.27533663,nan,nan,     nan,     nan,     nan,     nan,nan
2370.27721877,nan,nan,     nan,     nan,     nan,     nan,nan
2371.27784119,nan,nan,     nan,     nan,     nan,     nan,nan
2373.77932621,nan,nan,     nan,     nan,     nan,     nan,nan
2380.78362865,nan,nan,     nan,     nan,     nan,     nan,nan
2385.78654753,nan,nan,     nan,     nan,     nan,     nan,nan
2387.78768225,nan,nan,     nan,     nan,     nan,     nan,nan
2388.28789435,nan,nan,     nan,     nan,     nan,     nan,nan
2391.28952778,nan,nan,     nan,     nan,     nan,     nan,nan
2392.79031111,nan,nan,     nan,     nan,     nan,     nan,nan
2401.79444204,nan,nan,     nan,     nan,     nan,     nan,nan
2405.29574313,nan,nan,     nan,     nan,     nan,     nan,nan
2407.29645894,nan,nan,     nan,     nan,     nan,     nan,nan
2409.29717354,nan,nan,     nan,     nan,     nan,     nan,nan
2412.29803384,nan,nan,     nan,     nan,     nan,     nan,nan
2412.79815723,nan,nan,     nan,     nan,     nan,     nan,nan
2419.79970632,nan,nan,     nan,     nan,     nan,     nan,nan
2421.30003922,nan,nan,     nan,     nan,     nan,     nan,nan
2449.30210075,nan,nan,     nan,     nan,     nan,     nan,nan
2454.80204169,nan,nan,     nan,     nan,     nan,     nan,nan
2455.80224183,nan,nan,     nan,     nan,     nan,     nan,nan
2461.30238329,nan,nan,     nan,     nan,     nan,     nan,nan
2467.80310279,nan,nan,     nan,     nan,     nan,     nan,nan
2475.30458051,nan,nan,     nan,     nan,     nan,     nan,nan
2477.80476367,nan,nan,     nan,     nan,     nan,     nan,nan
2484.80653121,nan,nan,     nan,     nan,     nan,     nan,nan
2489.30785352,nan,nan,     nan,     nan,     nan,     nan,nan
2496.81082722,nan,nan,     nan,     nan,     nan,     nan,nan
2498.81173882,nan,nan,     nan,     nan,     nan,     nan,nan
2500.81270582,nan,nan,     nan,     nan,     nan,     nan,nan
2506.31555352,nan,nan,     nan,     nan,     nan,     nan,nan
2507.81639495,nan,nan,     nan,     nan,     nan,     nan,nan
